english,target,article,plural,type,register,tags,note,alternatives,article_prompt,level,example_en,example_target
person,Person,die,Personen,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
man,Mann,der,Männer,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
woman,Frau,die,Frauen,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
child,Kind,das,Kinder,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
friend,Freund,der,Freunde,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
female friend,Freundin,die,Freundinnen,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
family,Familie,die,Familien,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
house,Haus,das,Häuser,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
apartment,Wohnung,die,Wohnungen,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
room,Zimmer,das,Zimmer,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
door,Tür,die,Türen,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
window,Fenster,das,Fenster,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
table,Tisch,der,Tische,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
chair,Stuhl,der,Stühle,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
bed,Bett,das,Betten,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
city,Stadt,die,Städte,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
street,Straße,die,Straßen,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
station,Bahnhof,der,Bahnhöfe,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
airport,Flughafen,der,Flughäfen,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
train,Zug,der,Züge,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
car,Auto,das,Autos,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
bike,Fahrrad,das,Fahrräder,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
ticket,Fahrkarte,die,Fahrkarten,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
money,Geld,das,Gelder,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
card,Karte,die,Karten,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
bill,Rechnung,die,Rechnungen,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
food,Essen,das,,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
water,Wasser,das,,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
coffee,Kaffee,der,Kaffees,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
beer,Bier,das,Biere,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
wine,Wein,der,Weine,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
bread,Brot,das,Brote,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
breakfast,Frühstück,das,Frühstücke,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
lunch,Mittagessen,das,,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
dinner,Abendessen,das,,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
day,Tag,der,Tage,noun,neutral,core;noun;source:german_nouns_articles_core,,,true,A1,,
